high_acid,neither_abs,low_pun,low_uma,neither_sal,high_bit,neither_ast,low_bod
neither_acid,neither_abs,low_pun,vlow_uma,vlow_sal,high_bit,neither_ast,neither_bod
high_acid,high_abs,neither_pun,vlow_uma,low_sal,high_bit,neither_ast,vlow_bod
high_acid,high_abs,low_pun,vlow_uma,low_sal,high_bit,neither_ast,vlow_bod
vhigh_acid,low_abs,vlow_pun,vlow_uma,vlow_sal,high_bit,low_ast,vlow_bod
high_acid,neither_abs,vlow_pun,low_uma,high_sal,vhigh_bit,neither_ast,neither_bod
low_acid,neither_abs,vlow_pun,neither_uma,neither_sal,vhigh_bit,neither_ast,neither_bod
neither_acid,neither_abs,low_pun,neither_uma,high_sal,neither_bit,high_ast,low_bod
high_acid,neither_abs,vlow_pun,neither_uma,vhigh_sal,neither_bit,neither_ast,neither_bod
high_acid,low_abs,vlow_pun,low_uma,high_sal,neither_bit,low_ast,vlow_bod
neither_acid,neither_abs,neither_pun,low_uma,neither_sal,neither_bit,high_ast,low_bod
neither_acid,neither_abs,vlow_pun,high_uma,vhigh_sal,neither_bit,neither_ast,vhigh_bod
low_acid,high_abs,neither_pun,neither_uma,neither_sal,vhigh_bit,high_ast,low_bod
neither_acid,high_abs,low_pun,neither_uma,high_sal,vhigh_bit,neither_ast,low_bod
neither_acid,neither_abs,vlow_pun,low_uma,high_sal,vhigh_bit,neither_ast,neither_bod
low_acid,neither_abs,vlow_pun,high_uma,high_sal,vhigh_bit,neither_ast,high_bod
vlow_acid,neither_abs,vlow_pun,vhigh_uma,vhigh_sal,vhigh_bit,low_ast,neither_bod
low_acid,high_abs,neither_pun,neither_uma,high_sal,vhigh_bit,vhigh_ast,high_bod
neither_acid,neither_abs,vlow_pun,low_uma,high_sal,vhigh_bit,low_ast,high_bod
vlow_acid,neither_abs,vlow_pun,neither_uma,neither_sal,high_bit,neither_ast,vhigh_bod
low_acid,neither_abs,vlow_pun,high_uma,neither_sal,vhigh_bit,neither_ast,low_bod
low_acid,neither_abs,vlow_pun,neither_uma,neither_sal,vhigh_bit,neither_ast,high_bod
neither_acid,neither_abs,vlow_pun,low_uma,neither_sal,vhigh_bit,low_ast,neither_bod
high_acid,high_abs,neither_pun,vlow_uma,neither_sal,vhigh_bit,neither_ast,low_bod
neither_acid,high_abs,neither_pun,low_uma,high_sal,vhigh_bit,high_ast,neither_bod
vlow_acid,high_abs,low_pun,neither_uma,neither_sal,vhigh_bit,low_ast,vhigh_bod
vhigh_acid,high_abs,neither_pun,vlow_uma,neither_sal,vhigh_bit,neither_ast,vlow_bod
vhigh_acid,high_abs,low_pun,low_uma,high_sal,vhigh_bit,neither_ast,low_bod
vlow_acid,low_abs,vlow_pun,high_uma,neither_sal,high_bit,low_ast,neither_bod
low_acid,high_abs,vlow_pun,neither_uma,low_sal,vhigh_bit,neither_ast,low_bod
